CR,Lms,Morphology,SSA,Molarity,Cation,Anion,CD,Cs,Cs_Class
1.5,2.41,2,5.24,3.0,1,1,2.5,86.3,I
1.5,2.41,2,5.24,3.0,1,1,3.0,65.4,I
1.5,2.41,2,39.89,1.0,4,3,0.5,156.0,II
1.5,2.41,2,39.89,1.0,4,3,0.8,113.3,II
1.5,2.41,2,39.89,1.0,4,3,1.0,95.6,I
1.5,2.41,2,39.89,1.0,4,3,3.0,74.3,I
1.5,2.41,2,39.89,1.0,4,3,5.0,69.6,I
1.5,2.41,1,12.8,1.0,1,1,0.25,243.8,III
1.5,2.41,1,12.8,1.0,1,1,0.5,236.0,III
1.5,2.41,1,12.8,1.0,1,1,1.0,228.2,III
1.5,2.41,1,12.8,1.0,1,1,2.0,220.0,III
1.5,2.41,1,12.8,1.0,1,1,5.0,208.0,III
1.5,2.41,3,3.63,2.0,1,1,0.2,264.8,III
1.5,2.41,3,3.63,2.0,1,1,0.5,244.9,III
1.5,2.41,3,3.63,2.0,1,1,1.0,220.7,III
1.5,2.41,3,3.63,2.0,1,1,2.0,205.5,III
1.5,2.41,3,3.63,2.0,1,1,4.0,175.4,II
1.5,2.41,3,3.63,2.0,1,1,10.0,134.5,II
1.54,2.41,1,19.6,1.0,3,3,1.0,91.0,I
1.54,2.41,1,19.6,1.0,3,3,2.0,83.0,I
1.54,2.41,1,19.6,1.0,3,3,3.0,72.0,I
1.54,2.41,1,19.6,1.0,3,3,5.0,65.0,I
1.54,2.41,1,19.6,1.0,3,3,7.0,60.0,I
1.54,2.41,1,19.6,1.0,3,3,10.0,54.0,I
1.54,2.41,1,19.6,1.0,3,3,15.0,47.0,I
1.54,2.41,1,19.6,1.0,3,3,20.0,39.0,I
1.54,2.41,1,12.7,1.0,3,3,1.0,100.0,II
1.54,2.41,1,12.7,1.0,3,3,2.0,89.0,I
1.54,2.41,1,12.7,1.0,3,3,3.0,83.0,I
1.54,2.41,1,12.7,1.0,3,3,5.0,77.0,I
1.54,2.41,1,12.7,1.0,3,3,7.0,72.0,I
1.54,2.41,1,12.7,1.0,3,3,10.0,66.0,I
1.54,2.41,1,12.7,1.0,3,3,15.0,58.0,I
1.54,2.41,1,12.7,1.0,3,3,20.0,52.0,I
1.54,2.41,1,19.5,1.0,3,3,1.0,180.0,II
1.54,2.41,1,19.5,1.0,3,3,2.0,141.0,II
1.54,2.41,1,19.5,1.0,3,3,3.0,130.0,II
1.54,2.41,1,19.5,1.0,3,3,5.0,119.0,II
1.54,2.41,1,19.5,1.0,3,3,7.0,113.0,II
1.54,2.41,1,19.5,1.0,3,3,10.0,105.0,II
1.54,2.41,1,19.5,1.0,3,3,15.0,95.0,I
1.54,2.41,1,19.5,1.0,3,3,20.0,86.0,I
1.54,2.41,2,22.0,1.0,4,3,0.5,148.0,II
1.54,2.41,2,22.0,1.0,4,3,1.0,136.0,II
