CR,Lms,SSA,Rct,PW,CD,Cs
1.54,2.41,12.7,2.6,0.5,5.0,77.0
1.54,2.41,12.7,2.6,0.5,7.0,72.0
1.54,2.41,12.7,2.6,0.5,10.0,66.0
1.54,2.41,12.7,2.6,0.5,15.0,58.0
1.54,2.41,12.7,2.6,0.5,20.0,52.0
1.54,2.41,19.5,1.4,0.5,1.0,180.0
1.54,2.41,19.5,1.4,0.5,2.0,141.0
1.54,2.41,19.5,1.4,0.5,3.0,130.0
1.54,2.41,19.5,1.4,0.5,5.0,119.0
1.54,2.41,19.5,1.4,0.5,7.0,113.0
1.54,2.41,19.5,1.4,0.5,10.0,105.0
1.54,2.41,19.5,1.4,0.5,15.0,95.0
1.54,2.41,19.5,1.4,0.5,20.0,86.0
1.54,2.41,22.0,0.58,0.6,0.5,148.0
1.54,2.41,22.0,0.58,0.6,1.0,136.0
1.54,2.41,22.0,0.58,0.6,2.0,123.0
1.54,2.41,22.0,0.58,0.6,5.0,113.0
1.54,2.41,22.0,0.58,0.6,10.0,102.0
1.54,2.41,22.0,0.58,0.6,20.0,97.0
1.54,2.41,22.0,0.58,0.6,30.0,94.0
1.54,2.41,31.5,28.0,0.8,0.5,106.0
1.54,2.41,31.5,28.0,0.8,6.0,41.2
1.54,2.41,18.68,3.269713483810433,0.7,0.5,178.0
1.54,2.41,18.68,3.269382332935847,0.7,1.0,168.0
1.54,2.41,18.68,3.2687200311866755,0.7,2.0,159.0
1.54,2.41,18.68,3.267395427688332,0.7,4.0,148.0
1.54,2.41,21.1,3.1,1.0,1.0,129.2
1.54,2.41,21.1,3.1,1.0,1.5,115.1
1.54,2.41,21.1,3.1,1.0,3.0,102.3
1.54,2.41,21.1,3.1,1.0,5.0,92.0
1.54,2.41,21.1,3.1,1.0,10.0,73.8
